restaurant_id,rating,review
1011246,1,"Жахливо коробки промокли, хінкалі розвалились.
Гроші на вітер!"
1011246,1,"Добрий день, які 5 зірок ??? Коментатори або боти або смаку не мають,
Дружина робила замовлення
кубдарі, посереднє, гриби з сиром мають тухлий присмак, плов був норм, але він коштує задорого  340 грн як на мене, ну ціна то суб єктивне, але 340 і він не так щоб божественний за ці гроші рулетики з баклажаном  не сподобалися бо баклажан гірчиці чи сам по собі чи через те що шкірку спалили…, хз…., ну рулетики з перцю це мені сподобалося, правда перець кааснуватий але я таке люблю….
Курку чкмерулі я не поняв взагалі, ну їстівне та й їстівне
Шашлик контрфорс……., ви вкурсі що таке шашлик ????? Натяку на вугілля не було, а риба таке ніби як варена, це ні в якому випадку не шашлик
Замовлення було на дві тисячі плюс грн, доставки безкоштовної на таку суму в них нема, таксі на Вашингтона 200 грн
Одним словом це місце не варте уваги
Ну і зірочкою на цьому торті бєзумія і несмаку є гранат який щедро туляться всюди де можна і не можна, Альо !!!!!!!! В зернятах кісточки, попадають між зуби, неприємно їсти, чули ????
Я не можу сказати що це вокзальна забігайлівка, але багато де краще, не хочу рекламувати"
1011246,5,"Відвідуємо цей заклад вже не в перше , кухня та обслуговування просто супер, особливо,офіціант Любомир, який  залишив приємне враження.
Обовʼязково повернемося ще раз"
1011246,5,"Прекрасний заклад !!
Не в перше тут ! Окрема подяка офіціанту Любомиру, обслуговування на високому рівні !!"
1011246,5,"Сьогодні завітали з чоловіком у цей заклад. Пояснюю оцінку:
1. Не зважаючи на завантаження,страви принесли швидко. Хінкалі з баранини,салат з телятиною та салат з креветками ДУЖЕ смачні
2. Наша офіціантка Анна була дуже уважна і компетентна. Попередила про алергени,уточнила гостроту страв. За моїм проханням дещо змінили у салаті. Ще й отримали смачний комплімент від закладу.
3. Мені сподобалось те,що ресторан доволі просторий.Окремо є  гардероб для верхнього одягу. Дизайн мінімалістичний,але є цікаві акценти ( наприклад мені сподобались люстри з імітацією свічок)
Обожнюю грузинську кухню і можу впевнено рекомендувати ChaChito"
1011246,5,"Божественно!!! Це просто круть!! Шикарний інтер'єр,  дуже привітний і вишколений персонал, розташування в центрі Львова, шикарний плейлист. Але за чим сюди йти - так це за ідеальним Харчо, Харчо із великої літери та за найсмачнішим шашликом. У Львові багато закладів, але це обов'язково до відвідин. 100% рекомендовано мною і дякую за такий сервіс і роботу💪💪💪"
1011246,5,"Смачна кухня,та гарна атмосфера
Замовлення швидко принесли!!"
1011246,5,"Все було смачно - ми хотіли все з'їсти, але не змогли доїсти 😅"
1011246,5,"Дякуємо дуже за організацію чудового свята, все на найвищому рівні!Кухня відмінна👌Чудове і затишне місце як для святкування бенкету, так і для зустрічі з друзями.Процвітання вам 🫶"
1011246,5,"Все сподобалось, бармен Дмитро взагалі топ."
1011246,5,"Обслуговувала нас дівчинка Аня, вона профі ☺️
В вас дуже смачно 😍
Сервіс на висоті 🔥"
1011246,5,"Обслуговування на найвищому рівні😻
Офіціант Аня просто топ 🩷🫶🏻
Дуже крутий інтерʼєр і смачні страви 😍"
1011246,5,"Їжа дуже смачно,
сервіс хороший,
атмосфера неймовірна ❤️"
1011246,5,Дуже гарний інтерʼєр та смачна їжа. Дуже сподобалось.
1011246,5,"Дуже файний заклад. Гарна атмосфера, дуже приємні офіціантки та неймовірно смачна їжа. Ціна відповідає якості. Замовляли 8 хінкалей (з сиром, бараниною, свининою та телятиною), хачапурі по-аджарськи та вино. Цього було більш ніж достатньо на двох. Заплатили 835 гривень за все. Ціни приємні. Ще раз дууууже смачно. Рекомендую!!"
1011246,5,"Ціни не дуже високі, але страви топ ❤️
Все, що ми замовили, було або смачне або дуже смачне.
Їжу приготували дуже швидко, офіціант замішала нам хачапурі - ідеально"
1011246,5,"Атмосфера +
Персонал +
Кухня +
Один маленький мінус це плов, від спецій гірчило дуже.
Хінкалі рекомендую ! 10 з 10"
1011246,5,Дуже сподобалась атмосфера. Обслуговування. Їжа
